DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35180903    3.68149e-05         0.0887413
35180904    1.54443e-05         0.0887567
35180905    7.27318e-05         0.0888295
35180906    7.70419e-05         0.0889065
35180907    8.6919e-05         0.0889934
35180908    0.000104698         0.0890981
35180909    0.000102722         0.0892008
35180910    0.000109547         0.0893104
35180911    9.69758e-05         0.0894074
35180912    9.01516e-05         0.0894975
35180913    9.41024e-05         0.0895916
35180914    0.000184254         0.0897759
35180915    0.000162524         0.0899384
35180916    6.93197e-05         0.0900077
35180917    5.85446e-05         0.0900663
35180918    0.000112779         0.090179
35180919    9.01516e-05         0.0902692
35180920    0.000108469         0.0903777
35180921    0.000137742         0.0905154
35180922    0.000176711         0.0906921
35180923    0.000326126         0.0910182
35180924    0.00016863         0.0911869
35180925    3.03498e-05         0.0912172
35180926    5.11817e-05         0.0912684
35180927    7.81194e-05         0.0913465
35180928    0.000107392         0.0914539
35180929    5.74671e-05         0.0915114
35180930    8.31477e-05         0.0915945
35180931    0.000107571         0.0917021
35180932    8.88945e-05         0.091791
35180933    0.000102004         0.091893
35180934    0.000153365         0.0920464
35180935    0.000112061         0.0921584
35180936    8.58415e-05         0.0922443
35180937    0.000100208         0.0923445
35180938    0.000126069         0.0924705
35180939    7.41685e-05         0.0925447
35180940    6.7883e-05         0.0926126
35180941    5.11817e-05         0.0926638
35180942    9.33841e-06         0.0926731
35180943    1.56239e-05         0.0926887
35180944    9.69758e-06         0.0926984
35180945    3.23253e-06         0.0927017
35180946    0.000101286         0.0928029
35180947    9.53595e-05         0.0928983
35180948    0.000106853         0.0930052
35180949    9.8592e-05         0.0931037
35180950    8.74578e-05         0.0931912
35180951    8.36865e-05         0.0932749
35180952    8.4764e-05         0.0933597
35180953    8.38661e-05         0.0934435
35180954    0.000119065         0.0935626
35180955    9.949e-05         0.0936621
35180956    8.70986e-05         0.0937492
35180957    0.000108828         0.093858
35180958    7.61439e-05         0.0939341
35180959    7.90173e-05         0.0940132
35180960    9.51799e-05         0.0941083
35180961    0.000125171         0.0942335
35180962    0.000151749         0.0943853
35180963    0.000121758         0.094507
35180964    7.16543e-05         0.0945787
35180965    8.29682e-05         0.0946616
35180966    0.000254831         0.0949165
35180967    7.29114e-05         0.0949894
35180968    0.000139537         0.0951289
35180969    7.93765e-05         0.0952083
35180970    8.4764e-05         0.0952931
35180971    8.0454e-05         0.0953735
35180972    9.93104e-05         0.0954728
35180973    9.33841e-05         0.0955662
